DateTime,mean,sum,max
2024-07-25 22:20:00,5.2085972850678735,5755.5,72.5
2024-07-25 22:30:00,4.990027198549411,5504.0,68.0
2024-07-25 22:40:00,4.824750679963735,5321.7,56.5
2024-07-25 22:50:00,4.644968268359021,5123.4,43.0
2024-07-25 23:00:00,4.6274705349048055,5104.1,37.0
2024-07-25 23:10:00,4.6202359346642465,5091.5,36.5
2024-07-25 23:20:00,4.4393278837420524,4887.7,36.0
2024-07-25 23:30:00,4.240508628519528,4668.8,32.0
2024-07-25 23:40:00,3.9595454545454545,4355.5,31.0
2024-07-25 23:50:00,3.5965454545454545,3956.2,38.0
2024-07-26 00:00:00,3.3262919310970083,3668.9,40.5
